Andover|36.9323|-82.7871
Andreas|40.7558|-75.8307
Andrew|42.1643|-90.6074
Andrews|40.8466|-85.6098
Andrews|35.1972|-83.8136
Andrews|33.4398|-79.5326
Andrews|32.3225|-102.5389
Andrews Air Force Base|38.8042|-76.8853
Aneta|47.6931|-97.9993
Aneth|37.1472|-109.4051
Angela|46.5555|-106.3655
Angeles|18.2579|-66.6846
Angel Fire|36.4242|-105.5047
Angelica|42.3254|-78.0029
Angels Camp|38.06|-120.5999
Angelus Oaks|34.1729|-116.8793
Angie|30.9324|-89.8698
Angier|35.4917|-78.7068
Angle Inlet|49.2652|-95.054
Angleton|29.1684370246|-95.4376985459
Angola|41.6544|-85.0194
Angola|30.9179|-91.5549
Angola|42.6364|-79.0516
Angoon|57.4441|-134.2223
Angora|47.76|-92.7554
Angora|41.8945|-103.0913
Anguilla|32.9718|-90.8295
Angwin|38.5753|-122.4485
Aniak|61.4023|-156.9921
Animas|31.7397|-108.6292
Anita|41.4383|-94.7553
Anita|41.033|-78.9551
Aniwa|45.0185|-89.284
Ankeny|41.7272179142|-93.6033209294
Anmoore|39.2958|-80.3827
Anna|37.4595|-89.214
Anna|40.4007|-84.2007
Anna|33.3498|-96.5249
Annabella|38.7083|-112.0604
Annada|39.2608|-90.8649
Anna Maria|27.5296|-82.7329
Annandale|45.2567|-94.1209
Annandale|40.6283|-74.8868
Annandale|38.8313|-77.2126
Annandale On Hudson|42.0119|-73.8048
Annapolis|38.7135|-123.3618
Annapolis|39.1418|-87.8414
Annapolis|38.9867985045|-76.5085809405
Annapolis|37.3854|-90.5641
Annapolis Junction|39.1258|-76.7929
Ann Arbor|42.2698354421|-83.7426621575
Annawan|41.4089|-89.9212
Annemanie|32.0733|-87.562
Anniston|33.665980349|-85.8330345726
Anniston|36.8196|-89.3281
Annona|33.4952|-94.9167
Annville|37.3051|-83.9689
Annville|40.3462|-76.5323
Anoka|45.2445|-93.4135
Anselmo|41.6195|-99.8656
Ansley|41.3455|-99.486
Anson|44.8079|-69.943
Anson|32.7412|-99.888
Ansonia|41.3431|-73.0745
Ansonia|40.21|-84.6483
Ansonville|35.1055|-80.076
Ansted|38.121|-81.0819
Antelope|38.7163|-121.3681
Antelope|48.6976|-104.3527
Antelope|44.9084|-120.7207
Antes Fort|41.1908|-77.2419
Anthon|42.3786|-95.9029
Anthony|29.3108|-82.0907
Anthony|37.1513|-98.0328
Anthony|31.9938|-106.6323
Anthony|31.9757|-106.6008
Antigo|45.1336|-89.1441
Antimony|37.9405|-112.1359
Antioch|37.9934277005|-121.80563499
Antioch|42.467|-88.1086
Antioch|36.0451812817|-86.6440538958
Antler|48.9396|-101.2853
Antlers|34.2322|-95.6176
Antoine|34.0187|-93.4399
Anton|39.7243|-103.1074
Anton|33.7824|-102.15
Anton Chico|35.0929|-105.0413
Antonito|37.0807|-106.1015
Antrim|43.0603|-71.9566
Antwerp|44.2401|-75.6193
Antwerp|41.1901|-84.7343
Anvik|62.6333|-160.2134
Anza|33.5413|-116.6782
Apache|34.8506|-98.3506
Apache Junction|33.4072936368|-111.539837645
Apalachicola|29.7267386218|-85.0006360577
Apalachin|42.0526|-76.1563
Apex|35.7256101734|-78.8601838893
Apison|35.0178|-85.0181
Aplington|42.597|-92.899
Apollo|40.5651|-79.5745
